address,cap,partner
0x1dC028C52C9c0a6cD09E7E100182aBcD1093eeCe,1,true
0x7eC39A3a812Be775A48663BD7bACfDC8dc1244e7,1,true
0x42e4a9B438A419c5B6996f0c0Dc63686Cc3943b2,1,true
0x1Cd08b09D0173b79b500499705114C6Ad151901D,1,true
0x74d44DFf0291D9145b0EE6AB7cc454e2B6183c90,1,true
0x1Ed8CC6fa7F7677972c5cD33d0DD393C456E1709,1,true
0xD11c519d67A77d2f1F16F0760e9921aB0c0dfe51,1,true
0x50c73fEb35aFb06514afff6A3e8e4C44Fedc0807,1,true
0xaF4DC81887d903cEEABDAB606877430383762A08,3,true
0x11225c574c0F68649dD4a30509efF1a1D9f7dE8B,1,true
0x06Fb854248A6B6AF9CfDd9844fc500A2a9d0Db88,1,true
0xD23aAFb765d10e53850E2338ac6883EB1f693291,1,true
0x7ec056dFdE1Ade1dABebf7c4E6ACA5CB1D7a9e52,1,true
0x7405Fe24003A50e4f4117D35E9b5a9f5E512fEdE,7,true
0xf34C06cd907AD036b75cee40755b6937176f24c3,5,true
0xf9fB94327D7998555B5Ad02d4745ffd219C8fE3A,5,true
0x73046a70f5e5B845b7e095F071ae4ef3a3Ef7B0f,3,true
0x0909E0D664192E12CFcbC036CeE2b4865F5EA76d,3,true
0xEf5a9C093e2395249098b032a3E77c1fBa6e427f,3,true
0xFCF22B67c90Cad767E5DF5bf27e8A896c2991927,3,true
0x8108A711714D19B13355c8A02338423bCD9583dF,3,true
0xD313092715cff1e04785A3394079D721358616f1,2,true
0x4fce87521b80E72924a43a08516dfA484fD1B712,5,true
0x2cFae776F0749A56542B83B48515d472A7020367,5,true
0x176B9D2A4f3Ee603d8693d22Bf9a2c04A48FBF13,5,true
0x266468e75F13a4383c9917Aa564A30FF9eD9A7B6,5,true
0x79e66DBE533Cc4A8575A5cF3CE4C1E7D1e207A27,5,true
0x1ba284e2CC8aa6944Cc09A070d0CaCEC88186097,5,true
0xf7A67c39dDA81d47c2B4c7Cc40e16D8605715a95,5,true
0xFF6d608fcf0350a0eE098f913FAFE84E4574a851,5,true
0x8A9D1E7f99ae091721b59dE9D9eEB6050bb14a6E,7,true
0x6ea61f2577202470e44cA8751eaC98bb246FFeAF,5,true
0x29DF11B581FD7BA6a0c629F74c057118Fbc89439,5,true
0xB113373D29C24ee556760BDEa1eEDB7f0A3f6d62,5,true
0x43E27b6323292c420238AC58ec5785a2D65506EA,5,true
0x9a5b492969F3e18Aa02B741e9A6829bad489B488,5,true
